"id","alt_label","definition","identifier","notation","pref_label","uri"
"6847","Beta-N-acetyl-D-glucosaminidase;N-acetyl-beta-D-glucosaminidase","A measurement of the N-acetyl-beta-D-glucosaminidase (enzyme) in a biological specimen.","C103419","NAGASE","N-acetyl-beta-D-glucosaminidase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C103419"
"6848","N-acetyl-B-D-glucosaminidase/Creatinine","A relative measurement (ratio or percentage) of the N-acetyl-beta-D-glucosaminidase to creatinine in a biological specimen.","C163470","NAGASECR","N-acetyl-Beta-D-glucosaminidase to Creatinine Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163470"
"6849","N-acetyl-beta-D-glucosaminidase Excretion Rate;NAGASE Excretion Rate","A measurement of the amount of N-acetyl-beta-D-glucosaminidase being excreted in a biological specimen over a defined amount of time (e.g. one hour).","C165975","NAGASEXR","N-acetyl-beta-D-glucosaminidase Excretion Rate","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C165975"
"6850","N-Acetyl Glucosamide/Creatinine","A relative measurement (ratio or percentage) of the N-acetyl glucosamide to creatinine in a biological specimen.","C79460","NAGCREAT","N-Acetyl Glucosamide to Creatinine Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C79460"
"6851","Sodium/Potassium","A relative measurement (ratio or percentage) of the sodium to potassium in a biological specimen.","C122137","NAK","Sodium to Potassium Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C122137"
"6852","Allorphine;Antorphine;N-allylnormorphine;Nalorphine","A measurement of the nalorphine in a biological specimen.","C184592","NALORPHN","Nalorphine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184592"
"6853","Nandrolone;Norandrostenolone;Nortestosterone","A measurement of the nandrolone in a biological specimen.","C75377","NANDRLN","Nandrolone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C75377"
"6854","Naphyrone","A measurement of the naphyrone in a biological specimen.","C184553","NAPHYRON","Naphyrone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184553"
"6855","Nociceptin;Orphanin FQ","A measurement of the nociceptin in a biological specimen.","C154744","NCCPTN","Nociceptin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154744"
"6856","Norclostebol","A measurement of the norclostebol in a biological specimen.","C184593","NCLOSTBL","Norclostebol Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184593"
"6857","5 Prime Nucleotidase;5'-Ribonucleotide Phosphohydrolase","A measurement of the 5'-nucleotidase in a biological specimen.","C79437","NCTD5P","5 Prime Nucleotidase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C79437"
"6858","Desmethylolanzapine;DMO;N-Desmethylolanzapine;Norolanzapine","A measurement of the N-desmethylolanzapine in a biological specimen.","C177967","NDMOLZPN","N-Desmethylolanzapine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C177967"
"6859","N-Demethylase","A measurement of the N-Demethylase in a biological specimen.","C163471","NDMTASE","N-Demethylase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163471"
"6860","N-Desmethyltramadol;N-DSMT","A measurement of the N-desmethyltramadol in a biological specimen.","C181403","NDSMT","N-Desmethyltramadol Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181403"
"6861","Neopterin","A measurement of the neopterin in a biological specimen.","C80199","NEOPTERN","Neopterin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C80199"
"6862","Nephrin;NPHS1 Adhesion Molecule, Nephrin","A measurement of the nephrin in a biological specimen.","C184645","NEPHRIN","Nephrin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184645"
"6863","Neutrophilic Myelocytes/Lymphocytes","A relative measurement (ratio or percentage) of the neutrophilic myelocytes to lymphocytes in a biological specimen (for example a bone marrow specimen).","C181450","NEUMYLLY","Neutrophilic Myelocytes to Lymphocytes Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181450"
"6864","Neutrophils","A measurement of the neutrophils in a biological specimen.","C63321","NEUT","Absolute Neutrophil Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C63321"
"6865","Agranular Neutrophils","A measurement of the agranular neutrophils in a biological specimen.","C116200","NEUTAGR","Agranular Neutrophils Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C116200"
"6866","Neutrophils Band Form","A measurement of the banded neutrophils in a biological specimen.","C64830","NEUTB","Neutrophil Band Form Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C64830"
"6867","Neutrophils Band Form/Leukocytes","A relative measurement (ratio or percentage) of the banded neutrophils to leukocytes in a biological specimen.","C64831","NEUTBLE","Neutrophil Band Form to Leukocyte Ratio","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C64831"
"6868","Neutrophils Band Form/ Neutrophils","A relative measurement (ratio or percentage) of banded neutrophils to total neutrophils in a biological specimen.","C120642","NEUTBNE","Neutrophils Band Form to Neutrophils Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C120642"
"6869","Neutrophils/Total Cells","A relative measurement (ratio or percentage) of the neutrophils to total cells in a biological specimen (for example a bone marrow specimen).","C98763","NEUTCE","Neutrophil to Total Cell Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C98763"
"6870","Cytoplasmic Basophilia Neutrophil","A measurement of the neutrophils in a biological specimen showing a dark staining pattern in the cytoplasm due to increased acidic content.","C111166","NEUTCYBS","Cytoplasmic Basophilia Neutrophil Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C111166"
"6871","Giant Neutrophils","A measurement of the giant neutrophils in a biological specimen.","C96651","NEUTGT","Giant Neutrophil Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C96651"
"6872","Hypogranular Neutrophils","A measurement of the hypogranular neutrophils in a biological specimen.","C116201","NEUTHYGR","Hypogranular Neutrophil Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C116201"
"6873","Immature Neutrophils","A measurement of the total immature neutrophils in a biological specimen.","C96678","NEUTIM","Immature Neutrophil Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C96678"
"6874","Immature Neutrophils/Leukocytes","A relative measurement (ratio or percentage) of the immature neutrophils to leukocytes in a biological specimen.","C100442","NEUTIMLE","Immature Neutrophils to Leukocytes Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C100442"
"6875","Neutrophils/Leukocytes","A relative measurement (ratio or percentage) of the neutrophils to leukocytes in a biological specimen.","C64827","NEUTLE","Neutrophil to Leukocyte Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C64827"
"6876","Left Shift Neutrophils","An observation of the above normal incidence of immature neutrophils, including band neutrophils and neutrophil precursors in a biological specimen.","C116202","NEUTLS","Left Shift Neutrophil Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C116202"
"6877","Neutrophilic Metamyelocytes","A measurement of the neutrophilic metamyelocytes in a biological specimen.","C84822","NEUTMM","Neutrophilic Metamyelocyte Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C84822"
"6878","Neutrophilic Myelocytes","A measurement of the neutrophilic myelocytes in a biological specimen.","C84823","NEUTMY","Neutrophilic Myelocyte Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C84823"
"6879","Neutrophils/Non-Squam Epi Cells","A relative measurement (ratio or percentage) of the neutrophils to non-squamous epithelial cells in a biological specimen.","C135438","NEUTNSQE","Neutrophils to Non-Squamous Epithelial Cells Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C135438"
"6880","Neutrophils, Segmented","A measurement of the segmented neutrophils in a biological specimen.","C81997","NEUTSG","Segmented Neutrophil Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C81997"
"6881","Neutrophils, Segmented + Band Form","A measurement of the segmented and band form neutrophils in a biological specimen.","C154755","NEUTSGB","Segmented and Band Form Neutrophils Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154755"
"6882","Neutrophils, Seg + Band Form + Precursor;Neutrophils, Segmented + Band Form + Precursors","A measurement of the segmented and band form neutrophils, metamyelocytes, myelocytes, promyelocytes, and myeloblasts in a biological specimen.","C154756","NEUTSGBP","Segmented, Band Form and Precursor Neutrophils Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154756"
"6883","Neutrophils, Segmented/Leukocytes","A relative measurement (ratio or percentage) of segmented neutrophils to leukocytes in a biological specimen.","C82045","NEUTSGLE","Segmented Neutrophil to Leukocyte Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C82045"
"6884","Neutrophils, Segmented/Neutrophils","A relative measurement (ratio or percentage) of segmented neutrophils to total neutrophils in a biological specimen.","C120643","NEUTSGNE","Segmented Neutrophils to Neutrophils Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C120643"
"6885","Neutrophilic Toxic Change","A measurement of any type of toxic change in cells of the neutrophilic lineage in a biological specimen.","C132376","NEUTTOXC","Neutrophilic Toxic Change Assessment","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C132376"
"6886","Vacuolated Neutrophils","A measurement of the neutrophils containing small vacuoles in a biological specimen.","C74628","NEUTVAC","Vacuolated Neutrophil Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74628"
"6887","Phosphorylated Neurofilament Heavy Chain","A measurement of the phosphorylated neurofilament heavy chain in a biological specimen.","C172501","NFHP","Phosphorylated Neurofilament Heavy Chain Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C172501"
"6888","Neurofilament Light Chain Protein;Neurofilament Light Polypeptide;Protein Phosphatase 1, Regulatory Subunit 110","A measurement of the neurofilament light chain protein in a biological specimen.","C142285","NFLP","Neurofilament Light Chain Protein Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C142285"
"6889","Nerve Growth Factor","A measurement of the nerve growth factor in a biological specimen.","C135439","NGF","Nerve Growth Factor Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C135439"
"6890","Nonhematic Cells","A measurement of the cells of nonhematopoietic origin in a biological specimen.","C147401","NHMCE","Nonhematic Cells Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147401"
"6891","Nonhematic Cells/Leukocytes","A relative measurement (ratio) of the nonhematic cells to total leukocytes in a biological specimen.","C147402","NHMCELE","Nonhematic Cells to Leukocytes Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147402"
"6892","Norhydrocodone","A measurement of the norhydrocodone in a biological specimen.","C177952","NHYDCDN","Norhydrocodone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C177952"
"6893","Nicotine","A measurement of the nicotine in a biological specimen.","C147403","NICOTINE","Nicotine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147403"
"6894","Nitrate;Nitric Acid","A measurement of the nitrate in a biological specimen.","C161352","NITRATE","Nitrate Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C161352"
"6895","Nitric Oxide;NO","A measurement of the nitric oxide in a biological specimen.","C112360","NITRICOX","Nitric Oxide Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C112360"
"6896","Nitrite","A measurement of the nitrite in a biological specimen.","C64810","NITRITE","Nitrite Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C64810"
"6897","Natural Killer Cells","A measurement of the total natural killer cells in a biological specimen.","C98762","NKCE","Natural Killer Cell Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C98762"
"6898","Natural Killer Cell Activity;Natural Killer Cell Function","A measurement of the natural killer cell function in a biological specimen.","C116203","NKCEFUNC","Natural Killer Cell Activity Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C116203"
"6899","Neurokinin A;NKA;Substance K","A measurement of the neurokinin A in a biological specimen.","C163473","NKINA","Neurokinin A Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163473"
"6900","Natural Killer Cells/Lymphocytes;NK Cells/Lym","A relative measurement (ratio or percentage) of the natural killer cells to lymphocytes in a biological specimen.","C181258","NKLY","Natural Killer Cells to Lymphocytes Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181258"
"6901","N-methylhistamine","A measurement of the N-methylhistamine in a biological specimen.","C147404","NMH","N-methylhistamine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147404"
"6902","Nuclear Matrix Protein 22","A measurement of the nuclear matrix protein 22 in a biological specimen.","C156509","NMP22","Nuclear Matrix Protein 22 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C156509"
"6903","Non-HDL Cholesterol/HDL Cholesterol","A relative measurement (ratio or percentage) of non-high density lipoprotein cholesterol to high density lipoprotein cholesterol in a biological specimen.","C120644","NOHDLHDL","Non-HDL Cholesterol to HDL Cholesterol Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C120644"
"6904","Non-HDL Cholesterol;Non-High Density Lipoprotein","A measurement of the non-high density lipoprotein cholesterol in a biological specimen.","C116204","NONHDL","Non-High Density Lipoprotein Cholesterol Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C116204"
"6905","Norepinephrine Excretion Rate","A measurement of the amount of norepinephrine being excreted in a biological specimen over a defined amount of time (e.g. one hour).","C163472","NOREPEXR","Norepinephrine Excretion Rate","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163472"
"6906","Noradrenaline;Norepinephrine","A measurement of the norepinephrine hormone in a biological specimen.","C74868","NOREPIN","Noradrenaline Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74868"
"6907","Basophilic Normoblast","A measurement of the basophilic normoblasts in a biological specimen taken from a non-human organism.","C147405","NORMBASO","Basophilic Normoblast Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147405"
"6908","Normetanephrine Excretion Rate","A measurement of the amount of normetanephrine being excreted in a biological specimen over a defined amount of time (e.g. one hour).","C163474","NORMEEXR","Normetanephrine Excretion Rate","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163474"
"6909","Normetanephrine","A measurement of the normetanephrine in a biological specimen.","C122138","NORMETA","Normetanephrine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C122138"
"6910","Nornicotine","A measurement of the nornicotine in a biological specimen.","C147406","NORNCTN","Nornicotine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147406"
"6911","Noroxycodone","A measurement of the noroxycodone in a biological specimen.","C177953","NOXYCDN","Noroxycodone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C177953"
"6912","Non-Prostatic Acid Phosphatase","A measurement of the non-prostatic acid phosphatase in a biological specimen.","C100434","NPAP","Non-Prostatic Acid Phosphatase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C100434"
"6913","Neuropeptide Y","A measurement of the neuropeptide Y in a biological specimen.","C74892","NPY","Neuropeptide Y Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74892"
"6914","Desmethyldiazepam;N-Desmethyldiazepam;Nordazepam;Nordiazepam","A measurement of the nordazepam present in a biological specimen.","C139076","NRDZPM","Nordazepam Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C139076"
"6915","Norethandrolone","A measurement of the norethandrolone in a biological specimen.","C184594","NRENDRLN","Norethandrolone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184594"
"6916","BDCA4;CD304;Neuropilin-1;NP1;NRP;VEGF165R","A measurement of the neuropilin-1 in a biological specimen.","C165977","NRP1","Neuropilin-1 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C165977"
"6917","Enolase 2;Gamma-enolase;Neuron Specific Enolase","A measurement of the neuron specific enolase in a biological specimen.","C116205","NSE","Neuron Specific Enolase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C116205"
"6918","Normal Sperm/Total Sperm;Sperm Morphology","A measurement (ratio or percentage) of the normal spermatozoa to total spermatozoa in a biological specimen.","C142286","NSPMTSPM","Normal Sperm to Total Sperm Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C142286"
"6919","N-telopeptide/Creatinine","A relative measurement (ratio or percentage) of the N-telopeptide to creatinine in a biological specimen.","C120645","NTELOCRT","N-telopeptide to Creatinine Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C120645"
"6920","N-telopeptide","A measurement of the N-telopeptide in a biological specimen.","C74743","NTELOP","N-Telopeptide Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74743"
"6921","Neurotensin;NTS","A measurement of the neurotensin in a biological specimen.","C163475","NTENS","Neurotensin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163475"
"6922","Neutral Fats","A measurement of the total neutral fats in a biological specimen.","C147407","NTRLFAT","Neutral Fats Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147407"
"6923","Nitrazepam","A measurement of the nitrazepam in a biological specimen.","C184629","NTRZPM","Nitrazepam Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184629"
"6924","Type I Collagen N-Telopeptides;Type I Collagen X-Linked N-Telopeptides","A measurement of the type I collagen cross-linked N-telopeptides in a biological specimen.","C82039","NTXI","Type I Collagen N-Telopeptide Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C82039"
"6925","T1 Collagen X-link N-Telopeptides/Creat;Type I Collagen X-linked N-Telopeptides/Creatinine","A relative measurement (ratio or percentage) of the type 1 collagen cross-linked N-telopeptides to creatinine in a biological specimen.","C147408","NTXICRT","Type 1 Collagen X-link N-Telopeptides to Creatinine Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147408"
"6926","Type II Collagen N-Telopeptides;Type II Collagen X-Linked N-Telopeptides","A measurement of the type II collagen cross-linked N-telopeptides in a biological specimen.","C82041","NTXII","Type II Collagen N-Telopeptide Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C82041"
"6927","Nucleated Cells","A measurement of the nucleated cells in a biological specimen.","C150841","NUCCE","Nucleated Cell Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C150841"
"6928","Nuclear Swelling","A measurement of the expansion of the nucleus of the cells in a biological specimen.","C114213","NUCSWELL","Nuclear Swelling Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C114213"
"6929","Oxygen Content","A measurement of the amount of oxygen content in a biological specimen.","C111284","O2CT","Oxygen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C111284"
"6930","2-5-Oligoadenylate Synthase 1","A measurement of the 2-5-oligoadenylate synthase 1 in a biological specimen.","C163476","OAS1","2-5-Oligoadenylate Synthase 1 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163476"
"6931","2-5-Oligoadenylate Synthase 2","A measurement of the 2-5-oligoadenylate synthase 2 in a biological specimen.","C163477","OAS2","2-5-Oligoadenylate Synthase 2 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163477"
"6932","2-5-Oligoadenylate Synthase 3","A measurement of the 2-5-oligoadenylate synthase 3 in a biological specimen.","C163478","OAS3","2-5-Oligoadenylate Synthase 3 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163478"
"6933","Occult Blood","A measurement of the blood in body products such as a urine or stool sample, not detectable on gross examination.","C74686","OCCBLD","Occult Blood Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74686"
"6934","O-Demethylase","A measurement of the O-Demethylase in a biological specimen.","C163479","ODMTASE","O-Demethylase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163479"
"6935","Desmetramadol;O-Desmethyltramadol;O-DSMT","A measurement of the O-desmethyltramadol in a biological specimen.","C181402","ODSMT","O-Desmethyltramadol Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181402"
"6936","8-Hydroxy-2'-Deoxyguanosine;8-oxo-dG","A measurement of the 8-hydroxy-2'-deoxyguanosine in a biological specimen.","C174309","OH8DXG2","8-Hydroxy-2'-Deoxyguanosine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C174309"
"6937","9-Hydroxyrisperidone;Paliperidone","A measurement of the 9-hydroxyrisperidone in a biological specimen.","C177970","OH9RS","9-Hydroxyrisperidone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C177970"
"6938","8-Hydroxydeoxyguanosine;8-OHdG","A measurement of the 8-hydroxydeoxyguanosine in a biological specimen.","C172492","OHDG8","8-Hydroxydeoxyguanosine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C172492"
"6939","6 Beta-Hydrocortisol;6 Beta-Hydroxycortisol;6 beta-OHF","A measurement of 6 beta-hydroxycortisol in a biological specimen.","C150833","OHF6B","6 Beta-Hydroxycortisol Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C150833"
"6940","Olanzapine","A measurement of the olanzapine in a biological specimen.","C177966","OLANZAPN","Olanzapine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C177966"
"6941","Oligoclonal Bands","A measurement of the oligoclonal bands in a biological specimen.","C122139","OLIGBAND","Oligoclonal Bands Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C122139"
"6942","OCIF;Osteoclastogenesis Inhibitory Factor;Osteoprotegerin;TNFRS11B;Tumor Necrosis Factor Receptor Superfamily Member 11b","A measurement of the osteoprotegerin in a biological specimen.","C116206","OPG","Osteoprotegerin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C116206"
"6943","Opiate","A measurement of any opiate class drug present in a biological specimen.","C74796","OPIATE","Opiate Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74796"
"6944","Osteopontin","A measurement of the osteopontin in a biological specimen.","C124349","OPN","Osteopontin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C124349"
"6945","Osteopontin/Creatinine","A relative measurement (ratio or percentage) of the osteopontin to creatinine in a biological specimen.","C177962","OPNCRT","Osteopontin to Creatinine Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C177962"
"6946","Ornithine","A measurement of the ornithine in a biological specimen.","C122140","ORNITHIN","Ornithine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C122140"
"6947","Oncostatin M","A measurement of the oncostatin M in a biological specimen.","C132377","OSM","Oncostatin M Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C132377"
"6948","Osmolality","A measurement of the osmoles of solute per unit of biological specimen.","C74801","OSMLTY","Osmolality Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74801"
"6949","Osmolarity","A measurement of the osmoles of solute per liter of solution.","C74802","OSMRTY","Osmolarity Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74802"
"6950","Osteocalcin","A measurement of the osteocalcin in a biological specimen.","C74744","OSTEOC","Osteocalcin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74744"
"6951","Ovalocytes","A measurement of the ovalocytes (oval shaped cell with rounded ends and a long axis less than twice its short axis) in a biological specimen.","C142287","OVALCY","Ovalocyte Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C142287"
"6952","Oxalate/Creatinine","A relative measurement (ratio or percentage) of the oxalate to creatinine in a biological specimen.","C117983","OXACREAT","Oxalate to Creatinine Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C117983"
"6953","Oxalate Excretion Rate","A measurement of the amount of oxalate being excreted in a biological specimen over a defined amount of time (e.g. one hour).","C163480","OXAEXR","Oxalate Excretion Rate","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163480"
"6954","Ethanedioate;Oxalate","A measurement of the oxalate in a biological specimen.","C92250","OXALATE","Oxalate Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C92250"
"6955","Ossandrolone;Oxandrolone","A measurement of the oxandrolone in a biological specimen.","C75381","OXANDRLN","Oxandrolone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C75381"
"6956","Oxymorphone","A measurement of the Oxymorphone in a biological specimen.","C147409","OXMORPHN","Oxymorphone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147409"
"6957","Oxymesterone","A measurement of the oxymesterone in a biological specimen.","C184595","OXMSTRN","Oxymesterone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184595"
"6958","Oxymethalone;Oxymethenolone;Oxymetholone","A measurement of the oxymetholone in a biological specimen.","C75388","OXMTHLN","Oxymetholone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C75388"
"6959","Oxygen Capacity","A measurement of the maximum amount of oxygen that can be combined chemically with hemoglobin in a volume of blood.","C96614","OXYCAP","Oxygen Capacity Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C96614"
"6960","Oxycodone;Oxycontin","A measurement of the oxycodone present in a biological specimen.","C74884","OXYCDN","Oxycodone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74884"
"6961","Oxygen Saturation","A measurement of the oxygen-hemoglobin saturation of a volume of blood.","C60832","OXYSAT","Oxygen Saturation Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C60832"
"6962","Oxytocin;Oxytoxin","A measurement of the oxytocin hormone in a biological specimen.","C74869","OXYTOCIN","Oxytocin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74869"
"6963","Oxazepam","A measurement of the oxazepam present in a biological specimen.","C75375","OXZPM","Oxazepam Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C75375"
"6964","Amino-terminal propeptide of type 1 procollagen;P1NP Aminoterm Type 1;Procollagen 1 N-Terminal Propeptide","A measurement of the procollagen 1 N-terminal propeptide in a biological specimen.","C96625","P1NP","Procollagen 1 N-Terminal Propeptide Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C96625"
